Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
6/7/2016 3:00:00 AM,0.840584213000000000,6,1.806041600000000000,6,0.785523786000000000,6
6/7/2016 4:00:00 AM,1.062688586000000000,6,1.522618240000000000,6,1.013365173000000000,6
6/7/2016 5:00:00 AM,0.745588213000000000,6,1.282036213000000000,6,0.641129866000000000,6
6/7/2016 6:00:00 AM,0.299069760000000000,6,0.926192373000000000,6,1.131756266000000000,6
6/7/2016 7:00:00 AM,0.565356586000000000,6,1.190020480000000000,6,1.229658026000000000,6
6/7/2016 8:00:00 AM,0.889237066000000000,6,1.283749866000000000,6,0.787982506000000000,6
6/7/2016 9:00:00 AM,1.220717226000000000,6,1.580360906000000000,6,0.797891893000000000,6
6/7/2016 10:00:00 AM,1.558753973000000000,6,2.045655040000000000,6,1.182271786000000000,6
6/7/2016 11:00:00 AM,2.194444853000000000,6,2.879086613000000000,6,1.279130453000000000,6
6/7/2016 12:00:00 PM,2.069795200000000000,6,3.065353280000000000,6,1.381428106000000000,6
6/7/2016 1:00:00 PM,2.188260800000000000,6,2.761813120000000000,6,1.259311680000000000,6
6/7/2016 2:00:00 PM,3.157369013000000000,6,1.859537386000000000,6,1.730119306000000000,6
6/7/2016 3:00:00 PM,2.701388213000000000,6,2.299424746000000000,6,1.221015253000000000,6
6/7/2016 4:00:00 PM,2.728061600000000000,6,1.930318720000000000,6,1.563745920000000000,6
6/7/2016 5:00:00 PM,2.421317653000000000,6,1.911617546000000000,6,1.370401120000000000,6
6/7/2016 6:00:00 PM,2.411482773000000000,6,1.612100746000000000,6,1.390815946000000000,6
6/7/2016 7:00:00 PM,2.486883520000000000,6,1.901559146000000000,6,1.504215093000000000,6
6/7/2016 8:00:00 PM,1.881516853000000000,6,1.799112480000000000,6,2.064952266000000000,6
6/7/2016 9:00:00 PM,2.133647413000000000,6,1.285538026000000000,6,2.102950666000000000,6
6/7/2016 10:00:00 PM,0.500461280000000000,6,1.726915520000000000,6,0.926713920000000000,6
6/7/2016 11:00:00 PM,0.651113760000000000,6,1.365334666000000000,6,1.021188373000000000,6
6/8/2016 12:00:00 AM,0.442271573000000000,6,1.634080213000000000,6,0.683077120000000000,6
6/8/2016 1:00:00 AM,0.839839146000000000,6,1.095397013000000000,6,1.328155840000000000,6
6/8/2016 2:00:00 AM,0.563419413000000000,6,1.011055466000000000,6,2.132231786000000000,6
6/8/2016 3:00:00 AM,0.556043253000000000,6,0.563568426000000000,6,2.107570080000000000,6
6/8/2016 4:00:00 AM,0.634349760000000000,6,0.661619200000000000,6,1.764243360000000000,6
6/8/2016 5:00:00 AM,0.891621280000000000,6,0.661693706000000000,6,2.040141546000000000,6
6/8/2016 6:00:00 AM,0.584579306000000000,6,0.500163253000000000,6,2.328556853000000000,6
6/8/2016 7:00:00 AM,0.347424586000000000,6,0.662364266000000000,6,1.680199840000000000,6
6/8/2016 8:00:00 AM,0.353906666000000000,6,1.432241653000000000,6,1.067978560000000000,6
6/8/2016 9:00:00 AM,1.807904266000000000,6,1.376287146000000000,6,0.955026453000000000,6
6/8/2016 10:00:00 AM,2.022706986000000000,6,1.457573920000000000,6,1.160143306000000000,6
6/8/2016 11:00:00 AM,2.438156160000000000,6,2.014734773000000000,6,1.587960586000000000,6
6/8/2016 12:00:00 PM,2.821567466000000000,6,2.682240000000000000,6,1.813641280000000000,6
6/8/2016 1:00:00 PM,3.146714560000000000,6,2.950314986000000000,6,2.144674400000000000,6
6/8/2016 2:00:00 PM,3.201700480000000000,6,3.462697333000000000,6,2.426086080000000000,6
6/8/2016 3:00:00 PM,3.532286560000000000,6,3.867939093000000000,6,2.700345120000000000,6
6/8/2016 4:00:00 PM,4.402375413000000000,6,3.535937386000000000,6,2.280276533000000000,6
6/8/2016 5:00:00 PM,3.908470720000000000,6,3.319495520000000000,6,2.140278506000000000,6
6/8/2016 6:00:00 PM,4.719997333000000000,6,3.229565973000000000,6,1.865721440000000000,6
6/8/2016 7:00:00 PM,3.886044213000000000,6,3.567826240000000000,6,2.573013226000000000,6
6/8/2016 8:00:00 PM,6.024609066000000000,6,3.829270133000000000,6,4.000337440000000000,6
6/8/2016 9:00:00 PM,1.755749600000000000,6,5.175978133000000000,6,4.586630400000000000,6
6/8/2016 10:00:00 PM,1.499595680000000000,6,5.916574400000000000,6,4.486791466000000000,6
6/8/2016 11:00:00 PM,2.072775466000000000,6,5.977669866000000000,6,3.935442133000000000,6
6/9/2016 12:00:00 AM,2.575471946000000000,6,5.610352000000000000,6,3.529753333000000000,6
6/9/2016 1:00:00 AM,1.618955360000000000,6,6.160956266000000000,6,4.150170346000000000,6
6/9/2016 2:00:00 AM,2.102578133000000000,6,6.023118933000000000,6,3.704396960000000000,6
6/9/2016 3:00:00 AM,2.732606506000000000,6,5.316795733000000000,6,4.021050293000000000,6
6/9/2016 4:00:00 AM,2.703027360000000000,6,4.630589333000000000,6,2.785804266000000000,6
6/9/2016 5:00:00 AM,2.849358453000000000,6,5.161076800000000000,6,4.357149866000000000,6
6/9/2016 6:00:00 AM,2.411706293000000000,6,4.982260800000000000,6,3.533925706000000000,6
6/9/2016 7:00:00 AM,1.691450346000000000,6,5.073158933000000000,6,3.593754560000000000,6
6/9/2016 8:00:00 AM,1.955874506000000000,6,4.136610133000000000,6,3.558959946000000000,6
6/9/2016 9:00:00 AM,4.034312480000000000,6,5.143195200000000000,6,3.740756213000000000,6
6/9/2016 10:00:00 AM,5.276711146000000000,6,5.575333866000000000,6,3.706185120000000000,6
6/9/2016 11:00:00 AM,8.123461866000000000,6,5.965748800000000000,6,3.731591893000000000,6
6/9/2016 12:00:00 PM,8.290356800000000000,6,6.292088000000000000,6,3.597256373000000000,6
6/9/2016 1:00:00 PM,8.982523733000000000,6,6.589369600000000000,6,3.924862186000000000,6
6/9/2016 2:00:00 PM,8.706104000000000000,6,6.729442133000000000,6,3.981561760000000000,6
6/9/2016 3:00:00 PM,10.942794133000000000,6,6.955942400000000000,6,3.840744160000000000,6
6/9/2016 4:00:00 PM,11.412931200000000000,6,7.337416533000000000,6,4.372051200000000000,6
6/9/2016 5:00:00 PM,10.766213333000000000,6,7.339651733000000000,6,4.217151840000000000,6
6/9/2016 6:00:00 PM,10.001774933000000000,6,6.622152533000000000,6,3.454874133000000000,6
6/9/2016 7:00:00 PM,8.998915200000000000,6,6.696659200000000000,6,4.154044693000000000,6
6/9/2016 8:00:00 PM,6.798733333000000000,6,5.378636266000000000,6,4.649216000000000000,6
6/9/2016 9:00:00 PM,2.218883040000000000,6,5.536590400000000000,6,4.193533226000000000,6
6/9/2016 10:00:00 PM,2.914551786000000000,6,5.345853333000000000,6,4.126104693000000000,6
6/9/2016 11:00:00 PM,3.116092320000000000,6,5.221427200000000000,6,4.638785066000000000,6
6/10/2016 12:00:00 AM,3.334322346000000000,6,4.805680000000000000,6,4.135120000000000000,6
